ID,Nom,Categorie,Unite de matrice,"energie, calories (kcal)","Lipides, totaux (g)","Acides gras, satures (g)","Acides gras, mono-insatures (g)","Acides gras, poly-insatures (g)",Cholesterol (mg),"Glucides, disponibles (g)",Sucres (g),Amidon (g),Fibres alimentaires (g),Proteines (g),Sel (NaCl) (g),Alcool (g),Eau (g),"Activite de vitamine A, RE (µg-RE)","Activite de vitamine A, RAE (µg-RE)",Retinol (µg),Activite de betacarotene (µg-BCE),Betacarotene (µg),Vitamine B1 (thiamine) (mg),Vitamine B2 (riboflavine) (mg),Vitamine B6 (pyridoxine) (mg),Vitamine B12 (cobalamine) (µg),Niacine (mg),Folate (µg),Acide pantothenique (mg),Vitamine C (acide ascorbique) (mg),Vitamine D (calciferol) (µg),Activite de vitamine E (mg-ATE),Potassium (K) (mg),Sodium (Na) (mg),Chlore (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphore (P) (mg),Fer (Fe) (mg),Iode (I) (µg),Zinc (Zn)  (mg),Selenium (Se) (µg)
379,"Abricot, cru",Fruits/Fruits frais,par 100 g de portion comestible,48,"0,1",tr.,tr.,tr.,0,10,10,tr.,"2,1","0,8",0,0,"86,7",381,191,0,2287,2225,"0,03","0,04","0,06",0,"0,42","5,4","0,2","4,7",0,"0,7",320,2,1,16,10,20,"0,4","0,5","0,1",n.i.
1051,"Abricot, cuit,  egoutte (sans adjonction de sucre)",Fruits/Fruits cuits (conserves comprises),par 100 g de portion comestible,49,"0,1",0,0,0,0,10,10,0,"2,1",1,0,0,"86,8",357,179,0,2144,2086,"0,02","0,04","0,06",0,"0,42","3,4","0,2","2,4",0,"0,88",240,"1,5","1,3",19,10,20,"0,5","0,6","0,2",n.i.
623,"Abricot, non sucre, conserve",Fruits/Fruits cuits (conserves comprises),par 100 g de portion comestible,48,"0,1",tr.,tr.,tr.,0,10,10,tr.,"2,1","0,8",0,0,"86,7",122,61,0,729,713,"0,03","0,05","0,06",0,"0,54","3,5","0,26","3,5",0,"0,53",280,2,1,15,10,20,"0,4","0,5","0,1",n.i.
469,"Abricot, sec",Fruits/Fruits secs,par 100 g de portion comestible,293,"0,5","0,2","0,1","0,2",0,"59,1","34,3",<0.4,"8,3","2,9",0,0,"24,7",421,210,0,2525,2525,"0,01","0,06","0,17",0,"3,11","8,9","0,67","1,7",0,"5,52",1370,11,"5,4",82,50,110,"1,4","2,7","0,4",n.i.
621,"Abricot, sucre, conserve",Fruits/Fruits cuits (conserves comprises),par 100 g de portion comestible,83,"0,1",tr.,tr.,tr.,0,19,19,tr.,"1,9","0,7",0,0,78,122,61,0,729,713,"0,03","0,04","0,06",0,"0,49","3,2","0,23","3,2",0,"0,47",260,"1,8","1,1",14,9,18,"0,4","0,5","0,1",n.i.
10533,Agar Agar,Divers/Gelifiants et liants,par 100 g de portion comestible,160,"0,2",n.i.,n.i.,n.i.,n.i.,0,n.i.,n.i.,"74,1","2,4","0,3",n.i.,"20,5",n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,n.i.,52,130,n.i.,660,100,34,"4,5",n.i.,"1,5",n.i.
5,"Agneau, cotelette, crue (Suisse)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,179,"10,9","5,2",4,"0,9",72,0,0,n.i.,0,"20,2","0,2",0,"65,4",9,9,9,5,5,"0,18","0,06","0,32","3,61",n.i.,6,"0,57",0,"5,2","0,5",310,69,79,"8,4",20,180,"1,5","0,9","2,1",7
675,"Agneau, filet, cru","Viande et abats/Agneau, mouton",par 100 g de portion comestible,112,"3,4","1,3","1,5","0,2",66,0,0,0,0,"20,4","0,2",0,"75,1",9,9,9,5,5,"0,13","0,23","0,17","2,2","6,51",24,"0,66",0,tr.,"0,19",280,68,79,12,27,190,"1,9","0,7","3,2","4,1"
17,"Agneau, filet, cru (Australie, Nouvelle-Zelande)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,117,"3,3","1,9","1,9","0,4",72,0,0,n.i.,0,"21,8","0,1",0,73,9,9,9,5,5,"0,18","0,06","0,51","3,61",n.i.,6,"0,92",0,"2,9","0,5",330,44,79,"3,8",23,200,"1,9","0,8","2,3","8,7"
13273,"Agneau, filet, grille a point"" (sans adjonction de graisse ni de sel)""","Viande et abats/Agneau, mouton",par 100 g de portion comestible,136,"3,6","1,4","1,6","0,2",88,0,0,0,0,"25,8","0,2",0,"70,5",10,10,9,5,5,"0,1","0,25","0,14","2,05","6,08","25,6","0,7",0,0,"0,2",290,77,110,14,31,220,"2,4","0,9","4,3","5,5"
4,"Agneau, gigot, cru (Suisse, Nouvelle-Zelande)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,155,"8,2","4,4","3,7","0,9",65,0,0,n.i.,0,"20,2","0,2",0,"69,1",9,9,9,5,5,"0,18","0,06","0,46","3,61",n.i.,6,"0,92",0,"6,1","0,4",330,61,76,"4,7",20,190,"1,6","0,8","3,6","4,7"
13304,"Agneau, gigot, roti (sans adjonction de graisse ni de sel)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,203,"9,8","5,2","4,5","1,1",97,0,0,n.i.,0,"28,6","0,2",0,"61,6",11,11,10,6,6,"0,16","0,07","0,41","3,77",n.i.,"7,2","1,1",0,"7,2","0,48",390,77,110,"6,3",25,240,"2,3","1,2","5,4",7
18,"Agneau, rack, cru (Australie, Nouvelle-Zelande)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,156,"8,3","4,3","3,5","0,9",68,0,0,n.i.,0,"20,3","0,2",0,"67,6",9,9,9,5,5,"0,18","0,06","0,61","3,61","1,2",6,"0,57",0,"2,9","0,5",300,63,79,"7,5",24,180,"1,8","0,9","2,2",n.i.
19,"Agneau, ragout, cru (Suisse)","Viande et abats/Agneau, mouton",par 100 g de portion comestible,154,"8,4","4,3","3,7",1,66,0,0,n.i.,0,"19,6","0,2",0,"69,9",0,0,0,0,0,"0,18","0,06","0,36","3,61","1,2",6,"0,57",0,"6,1","0,5",310,60,75,"4,6",18,170,"1,3","0,7","4,3",n.i.
1110,"Agneau/mouton (moyenne sans abats ni cotelette), cru","Viande et abats/Agneau, mouton",par 100 g de portion comestible,134,"5,8",3,"2,7","0,6",67,0,0,0,0,"20,5","0,1",0,"73,7",7,7,6,4,4,"0,17","0,1","0,38","3,26","3,86","10,5","0,77",0,"3,8","0,4",310,58,77,"6,3",22,190,"1,7","0,7","3,3",n.i.
